abc,abc
2,4,123
3,000000412EAFF1D4
4,rvalue string,+,4
5,11:58:11 26.2.21,int __cdecl main(void)
6,0.063507s,11:58:11 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
7,0.172079s,11:58:11 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
8,0.284232s,11:58:11 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
9,0.395120s,11:58:11 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
10,0.504927s,11:58:11 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
11,0.613970s,11:58:12 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
12,0.725980s,11:58:12 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
13,0.837846s,11:58:12 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
14,0.949977s,11:58:12 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
15,1.060843s,11:58:12 26.2.21,int __cdecl main(void),4,lvalue string,rvalue string,1
16,from lambda string
